from,to,via,limit,time,day,notice
Neuchatel,"Yverdon, Parc Scientifique",,1,07:30,Monday,1800
Neuchatel,"Yverdon, Parc Scientifique",,1,07:30,Tuesday,1800
Neuchatel,"Yverdon, Parc Scientifique",,1,07:30,Wednesday,1800
Neuchatel,"Yverdon, Parc Scientifique",,1,07:30,Thursday,1800
Neuchatel,"Yverdon, Parc Scientifique",,1,07:30,Friday,1800
"Yverdon, Parc Scientifique",Neuchatel,,1,16:45,Monday,1800
"Yverdon, Parc Scientifique",Neuchatel,,1,16:45,Tuesday,1800
"Yverdon, Parc Scientifique",Neuchatel,,1,16:45,Wednesday,1800
"Yverdon, Parc Scientifique",Neuchatel,,1,16:45,Thursday,1800
"Yverdon, Parc Scientifique",Neuchatel,,1,16:45,Friday,1800
